Time	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh .JCI Trend Log.Present Value (kWh)	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.JCI Trend Log.Present Value (kWh)	
5/22/21, 12:00:00 AM CEST	35962.0	14218.0	
5/23/21, 12:00:00 AM CEST	35974.0	14218.0	
5/24/21, 12:00:00 AM CEST	35974.0	14218.0	
5/25/21, 12:00:00 AM CEST	36054.0	14223.0	
5/26/21, 12:00:00 AM CEST	36132.0	14227.0	
5/27/21, 12:00:00 AM CEST	36214.0	14231.0	
5/28/21, 12:00:00 AM CEST	36266.0	14235.0	
5/29/21, 12:00:00 AM CEST	36305.0	14237.0	
5/30/21, 12:00:00 AM CEST	36344.0	14239.0	
5/31/21, 12:00:00 AM CEST	36344.0	14239.0	
6/1/21, 12:00:00 AM CEST	36348.0	14239.0	
6/2/21, 12:00:00 AM CEST	36352.0	14239.0	
6/3/21, 12:00:00 AM CEST	36352.0	14517.0	
6/4/21, 12:00:00 AM CEST	36352.0	14764.0	
6/5/21, 12:00:00 AM CEST	36352.0	15064.0	
6/6/21, 12:00:00 AM CEST	36352.0	15192.0	
6/7/21, 12:00:00 AM CEST	36352.0	15192.0	
6/8/21, 12:00:00 AM CEST	36352.0	15320.0	
6/9/21, 12:00:00 AM CEST	36352.0	15513.0	
6/10/21, 12:00:00 AM CEST	36352.0	15721.0	
6/11/21, 12:00:00 AM CEST	36352.0	15938.0	
6/12/21, 12:00:00 AM CEST	36352.0	16147.0	
6/13/21, 12:00:00 AM CEST	36352.0	16352.0	
6/14/21, 12:00:00 AM CEST	36352.0	16352.0	
6/15/21, 12:00:00 AM CEST	36352.0	16542.0	
6/16/21, 12:00:00 AM CEST	36352.0	16794.0	
6/17/21, 12:00:00 AM CEST	36352.0	17049.0	
6/18/21, 12:00:00 AM CEST	36352.0	17323.0	
6/19/21, 12:00:00 AM CEST	36352.0	17631.0	
6/20/21, 12:00:00 AM CEST	36352.0	17920.0	
6/21/21, 12:00:00 AM CEST	36352.0	17920.0	
6/22/21, 12:00:00 AM CEST	36352.0	18125.0	
6/23/21, 12:00:00 AM CEST	36352.0	18244.0	
6/24/21, 12:00:00 AM CEST	36352.0	18337.0	
6/25/21, 12:00:00 AM CEST	36352.0	18414.0	
6/26/21, 12:00:00 AM CEST	36352.0	18490.0	
6/27/21, 12:00:00 AM CEST	36352.0	18559.0	
6/28/21, 12:00:00 AM CEST	36352.0	18559.0	
6/29/21, 12:00:00 AM CEST	36352.0	18665.0	
6/30/21, 12:00:00 AM CEST	36352.0	18837.0	
7/1/21, 12:00:00 AM CEST	36352.0	18948.0	
7/2/21, 12:00:00 AM CEST	36352.0	19017.0	
7/3/21, 12:00:00 AM CEST	36352.0	19079.0	
7/4/21, 12:00:00 AM CEST	36352.0	19214.0	
7/5/21, 12:00:00 AM CEST	36352.0	19215.0	
7/6/21, 12:00:00 AM CEST	36352.0	19331.0	
7/7/21, 12:00:00 AM CEST	36352.0	19434.0	
7/8/21, 12:00:00 AM CEST	36352.0	19530.0	
7/9/21, 12:00:00 AM CEST	36352.0	19654.0	
7/10/21, 12:00:00 AM CEST	36352.0	19791.0	
7/11/21, 12:00:00 AM CEST	36352.0	19910.0	
7/12/21, 12:00:00 AM CEST	36352.0	19910.0	
7/13/21, 12:00:00 AM CEST	36352.0	20037.0	
7/14/21, 12:00:00 AM CEST	36352.0	20180.0	
7/15/21, 12:00:00 AM CEST	36352.0	20285.0	
7/16/21, 12:00:00 AM CEST	36352.0	20360.0	
7/17/21, 12:00:00 AM CEST	36352.0	20432.0	
7/18/21, 12:00:00 AM CEST	36352.0	20519.0	
